symbol,name,currency,exchange,type
APN,Altiplano Metals Inc.,CAD,TSXV,Common Stock
APX,Apex Resources Inc.,CAD,TSXV,Common Stock
AQS,Aequus Pharmaceuticals Inc.,CAD,TSXV,Common Stock
ARC,Arcpoint Inc.,CAD,TSXV,Common Stock
ARCH,Arch Biopartners Inc.,CAD,TSXV,Common Stock
ARGH,Argo Corp.,CAD,TSXV,Common Stock
ARH,Altima Energy Inc.,CAD,TSXV,Common Stock
ARIC,Awalé Resources Limited,CAD,TSXV,Common Stock
ARK,Arras Minerals Corp.,CAD,TSXV,Common Stock
ARL,Aurum Lake Mining Corp.,CAD,TSXV,Common Stock
AROC.PR.,Argo Opportunity Corp.,CAD,TSXV,Common Stock
AROW.PR.,Four Arrows Capital Corp.,CAD,TSXV,Preferred Stock
ARTG,Artemis Gold Inc.,CAD,TSXV,Common Stock
ARU,Aurania Resources Ltd.,CAD,TSXV,Common Stock
ASE,Asante Gold Corporation,CAD,TSXV,Common Stock
ASG,Aurora Spine Corporation,CAD,TSXV,Common Stock
ASL,Argentum Silver Corp.,CAD,TSXV,Common Stock
AST,Astron Connect Inc.,CAD,TSXV,Common Stock
ASTN.PR.,Auston Capital Corp.,CAD,TSXV,Common Stock
ASTR,Astra Exploration Inc.,CAD,TSXV,Common Stock
ATI,Altai Resources Inc.,CAD,TSXV,Common Stock
ATLE,Atlas Energy Corp.,CAD,TSXV,Common Stock
ATLH.PR.,ATLH.PR.,CAD,TSXV,Common Stock
ATOM,Atomic Minerals Corporation,CAD,TSXV,Common Stock
ATR.PR.,Aster Acquisition Corp.,CAD,TSXV,Common Stock
ATX,Atex Resources Inc.,CAD,TSXV,Common Stock
ATY,Atico Mining Corp.,CAD,TSXV,Common Stock
AU,Aurion Resources Ltd.,CAD,TSXV,Common Stock
AUAU,A2 Gold Corp.,CAD,TSXV,Common Stock
AUEN,Golden Sky Minerals Corp.,CAD,TSXV,Common Stock
AUGC,Au Gold Corp.,CAD,TSXV,Common Stock
AUM,AuMEGA Metals Ltd,CAD,TSXV,Common Stock
AUMB,1911 Gold Corp.,CAD,TSXV,Common Stock
AUME,AURIGINAL MINING CORP (AUME) Common Stock,CAD,TSXV,Common Stock
AUNK.PR.,Ankh II Capital Inc.,CAD,TSXV,Common Stock
AUQ,AuQ Gold Mining Inc.,CAD,TSXV,Common Stock
AUR.H,Aurora Royalties Inc.,CAD,TSXV,Common Stock
AUTO,Carbeeza Inc.,CAD,TSXV,Common Stock
AUUA,ALUULA COMPOSITES INC Common Stock (G9V1),CAD,TSXV,Common Stock
AUX,Golden Cross Resources Inc.,CAD,TSXV,Common Stock
AUXX,Gold X2 Mining Inc.,CAD,TSXV,Common Stock
AVCR,Avricore Health Inc.,CAD,TSXV,Common Stock
AVG,Avidian Gold Corp.,CAD,TSXV,Common Stock
AVII.PR.,Antera Ventures II Corp.,CAD,TSXV,Common Stock
AVN,Avanti Helium Corp.,CAD,TSXV,Common Stock
AVR,Avaron Mining Corp,CAD,TSXV,Common Stock
AVU,Avrupa Minerals Ltd.,CAD,TSXV,Common Stock
AVX,Altair Resources Inc.,CAD,TSXV,Common Stock
AWE,Thunderstruck Resources Ltd.,CAD,TSXV,Common Stock
AWI,Advent-AWI Holdings Inc.,CAD,TSXV,Common Stock
AWM,Angel Wing Metals Inc.,CAD,TSXV,Common Stock
AWX,Arcwest Exploration Inc.,CAD,TSXV,Common Stock
AXE,Acceleware Ltd.,CAD,TSXV,Common Stock
AXET.PR.,Axe2 Acquisitions Inc.,CAD,TSXV,Common Stock
AXL,Arrow Exploration Corp.,CAD,TSXV,Common Stock
